0,1,2,3,4
0.0,97.5,92.5,100.0,85.0
97.5,0.0,95.0,20.0,60.0
92.5,95.0,0.0,92.5,67.5
100.0,20.0,92.5,0.0,65.0
85.0,60.0,67.5,65.0,0.0
