Feature,r,p-value
Vocal Texture,-0.03,0.82
Ornamentation,0.3,0.02
Grooviness,0.33,0.01
Familiarity,0.25,0.06
Liking,0.38,0.0
Consonance,0.25,0.05
Valence,0.58,0.0
Excitement,0.44,0.0
Vocal Range,0.05,0.69
Sound Quality,0.1,0.45
Tempo,0.24,0.06
Rhythmic Regularity,0.11,0.4
Vocal Tension,0.4,0.0
Vocal Texture,-0.03,0.82
