Feature,r,p-value
Vocal Texture,0.07,0.59
Ornamentation,0.09,0.5
Grooviness,-0.01,0.94
Familiarity,0.02,0.89
Liking,0.03,0.81
Consonance,0.16,0.23
Valence,-0.13,0.31
Excitement,-0.02,0.87
Vocal Range,0.1,0.47
Sound Quality,0.18,0.17
Tempo,0.09,0.5
Rhythmic Regularity,-0.02,0.88
Vocal Tension,-0.17,0.21
