Feature,r,p-value
Vocal Texture,0.05,0.69
Ornamentation,0.14,0.28
Grooviness,0.08,0.57
Familiarity,-0.06,0.65
Liking,0.14,0.27
Consonance,0.08,0.55
Valence,0.11,0.42
Excitement,-0.1,0.45
Vocal Range,0.07,0.61
Sound Quality,0.05,0.71
Tempo,-0.13,0.34
Rhythmic Regularity,0.02,0.87
Vocal Tension,-0.08,0.52
