,kappa,region,feature,group
0,0.89,North Musician,overlap,0
1,1.0,North Musician,overlap,1
2,0.86,North Musician,overlap,2
3,0.57,North Musician,overlap,3
4,0.89,North Musician,overlap,4
5,0.55,North Musician,overlap,5
6,0.62,North Non-Musician,overlap,0
7,1.0,North Non-Musician,overlap,1
8,1.0,North Non-Musician,overlap,2
9,0.48,North Non-Musician,overlap,3
10,0.75,North Non-Musician,overlap,4
11,0.07,North Non-Musician,overlap,5
12,0.89,South Musician,overlap,0
13,1.0,South Musician,overlap,1
14,1.0,South Musician,overlap,2
15,0.67,South Musician,overlap,3
16,0.57,South Musician,overlap,4
17,0.0,South Musician,overlap,5
18,0.86,South Non-Musician,overlap,0
19,0.78,South Non-Musician,overlap,1
20,0.4,South Non-Musician,overlap,2
21,0.48,South Non-Musician,overlap,3
22,0.88,South Non-Musician,overlap,4
23,0.78,South Non-Musician,overlap,5
24,1.0,North Musician,creativity,0
25,0.0,North Musician,creativity,1
26,0.0,North Musician,creativity,2
27,1.0,North Musician,creativity,3
28,0.0,North Musician,creativity,4
29,0.0,North Musician,creativity,5
30,0.0,North Non-Musician,creativity,0
31,0.55,North Non-Musician,creativity,1
32,0.0,North Non-Musician,creativity,2
33,0.58,North Non-Musician,creativity,3
34,0.0,North Non-Musician,creativity,4
35,0.0,North Non-Musician,creativity,5
36,1.0,South Musician,creativity,0
37,0.0,South Musician,creativity,1
38,0.0,South Musician,creativity,2
39,0.35,South Musician,creativity,3
40,0.0,South Musician,creativity,4
41,0.0,South Musician,creativity,5
42,-0.25,South Non-Musician,creativity,0
43,0.71,South Non-Musician,creativity,1
44,0.0,South Non-Musician,creativity,2
45,0.58,South Non-Musician,creativity,3
46,0.0,South Non-Musician,creativity,4
47,0.0,South Non-Musician,creativity,5
48,0.55,North Musician,likeness,0
49,0.38,North Musician,likeness,1
50,0.05,North Musician,likeness,2
51,0.25,North Musician,likeness,3
52,-0.09,North Musician,likeness,4
53,-0.36,North Musician,likeness,5
54,0.52,North Non-Musician,likeness,0
55,0.69,North Non-Musician,likeness,1
56,0.55,North Non-Musician,likeness,2
57,0.55,North Non-Musician,likeness,3
58,-0.11,North Non-Musician,likeness,4
59,-0.36,North Non-Musician,likeness,5
60,0.0,South Musician,likeness,0
61,0.48,South Musician,likeness,1
62,0.76,South Musician,likeness,2
63,0.17,South Musician,likeness,3
64,-0.67,South Musician,likeness,4
65,0.0,South Musician,likeness,5
66,0.17,South Non-Musician,likeness,0
67,0.29,South Non-Musician,likeness,1
68,0.44,South Non-Musician,likeness,2
69,0.4,South Non-Musician,likeness,3
70,0.0,South Non-Musician,likeness,4
71,0.26,South Non-Musician,likeness,5
72,0.67,North Musician,tempo,0
73,0.8,North Musician,tempo,1
74,0.67,North Musician,tempo,2
75,0.4,North Musician,tempo,3
76,0.17,North Musician,tempo,4
