Feature,r,p-value
Vocal Texture,0.29,0.02
Ornamentation,0.2,0.13
Grooviness,-0.05,0.7
Familiarity,0.04,0.79
Liking,0.05,0.72
Consonance,-0.01,0.95
Valence,0.18,0.16
Excitement,0.05,0.7
Vocal Range,0.13,0.31
Sound Quality,0.2,0.12
Tempo,0.17,0.2
Rhythmic Regularity,-0.01,0.95
Vocal Tension,-0.12,0.36
