,kappa,region,feature,group
139,0.62,South Non-Musician,Valence,1
140,0.33,South Non-Musician,Valence,2
141,0.0,South Non-Musician,Valence,3
142,0.29,South Non-Musician,Valence,4
143,0.29,South Non-Musician,Valence,5
144,0.36,North Musician,Ornamentation,0
145,0.0,North Musician,Ornamentation,1
146,0.05,North Musician,Ornamentation,2
147,0.25,North Musician,Ornamentation,3
148,0.09,North Musician,Ornamentation,4
149,0.55,North Musician,Ornamentation,5
150,0.21,North Non-Musician,Ornamentation,0
151,0.8,North Non-Musician,Ornamentation,1
152,-0.92,North Non-Musician,Ornamentation,2
153,0.55,North Non-Musician,Ornamentation,3
154,-0.09,North Non-Musician,Ornamentation,4
155,-0.43,North Non-Musician,Ornamentation,5
156,0.52,South Musician,Ornamentation,0
157,0.0,South Musician,Ornamentation,1
158,0.17,South Musician,Ornamentation,2
159,0.29,South Musician,Ornamentation,3
160,-0.57,South Musician,Ornamentation,4
161,0.0,South Musician,Ornamentation,5
162,0.57,South Non-Musician,Ornamentation,0
163,-0.4,South Non-Musician,Ornamentation,1
164,0.4,South Non-Musician,Ornamentation,2
165,-0.5,South Non-Musician,Ornamentation,3
166,-0.19,South Non-Musician,Ornamentation,4
167,0.55,South Non-Musician,Ornamentation,5
168,0.29,North Musician,Vocal Range,0
169,0.29,North Musician,Vocal Range,1
170,0.21,North Musician,Vocal Range,2
171,0.57,North Musician,Vocal Range,3
172,-0.13,North Musician,Vocal Range,4
173,0.4,North Musician,Vocal Range,5
174,-0.36,North Non-Musician,Vocal Range,0
175,0.67,North Non-Musician,Vocal Range,1
176,0.29,North Non-Musician,Vocal Range,2
177,0.62,North Non-Musician,Vocal Range,3
178,-0.39,North Non-Musician,Vocal Range,4
179,0.0,North Non-Musician,Vocal Range,5
180,-0.11,South Musician,Vocal Range,0
181,0.14,South Musician,Vocal Range,1
182,-0.29,South Musician,Vocal Range,2
183,0.21,South Musician,Vocal Range,3
184,0.29,South Musician,Vocal Range,4
185,0.0,South Musician,Vocal Range,5
186,0.8,South Non-Musician,Vocal Range,0
187,0.0,South Non-Musician,Vocal Range,1
188,-0.67,South Non-Musician,Vocal Range,2
189,-0.07,South Non-Musician,Vocal Range,3
190,0.0,South Non-Musician,Vocal Range,4
191,-0.41,South Non-Musician,Vocal Range,5
192,0.67,North Musician,Sound Quality,0
193,0.4,North Musician,Sound Quality,1
194,-0.43,North Musician,Sound Quality,2
195,0.0,North Musician,Sound Quality,3
196,0.0,North Musician,Sound Quality,4
197,0.55,North Musician,Sound Quality,5
198,0.17,North Non-Musician,Sound Quality,0
199,0.5,North Non-Musician,Sound Quality,1
200,0.29,North Non-Musician,Sound Quality,2
201,-0.21,North Non-Musician,Sound Quality,3
202,-0.67,North Non-Musician,Sound Quality,4
203,0.55,North Non-Musician,Sound Quality,5
204,-0.15,South Musician,Sound Quality,0
205,0.17,South Musician,Sound Quality,1
206,0.29,South Musician,Sound Quality,2
207,0.0,South Musician,Sound Quality,3
208,-0.36,South Musician,Sound Quality,4
209,0.0,South Musician,Sound Quality,5
210,0.29,South Non-Musician,Sound Quality,0
211,0.55,South Non-Musician,Sound Quality,1
