,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.0,0.1818,0.0,0.1144,0.3929,0.054,0.3929,0.2187,0.025,0.3929,0.2187,0.025,0.2187,0.025,0.025,0.25,0.025,0.1137,0.25,0.025,0.1874,0.025,0.5938,0.025,0.75,0.0835,0.0835,0.0835,0.0835,0.025
1,0.1538,0.0,0.1538,0.057,0.1786,0.1082,0.1786,0.0312,0.1749,0.1786,0.0312,0.1749,0.0312,0.1749,0.1749,0.3653,0.1749,0.25,0.3653,0.1749,0.3124,0.1749,0.4062,0.1749,0.6347,0.0832,0.0832,0.0832,0.0832,0.1749
2,0.0,0.1818,0.0,0.1144,0.3929,0.054,0.3929,0.2187,0.025,0.3929,0.2187,0.025,0.2187,0.025,0.025,0.25,0.025,0.1137,0.25,0.025,0.1874,0.025,0.5938,0.025,0.75,0.0835,0.0835,0.0835,0.0835,0.025
3,0.1026,0.0605,0.1026,0.0,0.2499,0.0542,0.2499,0.0936,0.125,0.2499,0.0936,0.125,0.0936,0.125,0.125,0.3269,0.125,0.2046,0.3269,0.125,0.2708,0.125,0.4686,0.125,0.6731,0.0277,0.0277,0.0277,0.0277,0.125
4,0.2821,0.1515,0.2821,0.1999,0.0,0.2433,0.0,0.1251,0.3,0.0,0.1251,0.3,0.1251,0.3,0.3,0.4615,0.3,0.3637,0.4615,0.3,0.4166,0.3,0.2499,0.3,0.5385,0.2221,0.2221,0.2221,0.2221,0.3
5,0.0512,0.1213,0.0512,0.0573,0.3216,0.0,0.3216,0.1563,0.0749,0.3216,0.1563,0.0749,0.1563,0.0749,0.0749,0.2884,0.0749,0.159,0.2884,0.0749,0.229,0.0749,0.5314,0.0749,0.7116,0.028,0.028,0.028,0.028,0.0749
6,0.2821,0.1515,0.2821,0.1999,0.0,0.2433,0.0,0.1251,0.3,0.0,0.1251,0.3,0.1251,0.3,0.3,0.4615,0.3,0.3637,0.4615,0.3,0.4166,0.3,0.2499,0.3,0.5385,0.2221,0.2221,0.2221,0.2221,0.3
7,0.1794,0.0303,0.1794,0.0856,0.143,0.1351,0.143,0.0,0.1999,0.143,0.0,0.1999,0.0,0.1999,0.1999,0.3845,0.1999,0.2727,0.3845,0.1999,0.3332,0.1999,0.375,0.1999,0.6155,0.1109,0.1109,0.1109,0.1109,0.1999
8,0.0256,0.212,0.0256,0.1429,0.4285,0.0809,0.4285,0.2499,0.0,0.4285,0.2499,0.0,0.2499,0.0,0.0,0.2308,0.0,0.091,0.2308,0.0,0.1666,0.0,0.625,0.0,0.7692,0.1112,0.1112,0.1112,0.1112,0.0
9,0.2821,0.1515,0.2821,0.1999,0.0,0.2433,0.0,0.1251,0.3,0.0,0.1251,0.3,0.1251,0.3,0.3,0.4615,0.3,0.3637,0.4615,0.3,0.4166,0.3,0.2499,0.3,0.5385,0.2221,0.2221,0.2221,0.2221,0.3
