,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
16,0.3,0.3637,0.1251,0.0,0.0,0.0,0.1251,0.1248,0.3,0.1251,0.3637,0.0,0.3,0.4616,0.2224,0.3,0.0,0.4168,0.3,0.4616,0.4168,0.1251,0.1251,0.4616,0.3637,0.4168,0.5001,0.3,0.1251,0.4616,0.3,0.3,0.1251,0.4999,0.1251,0.2221,0.1248,0.2221,0.2221,0.3
17,0.8001,0.091,0.5002,0.7144,0.7144,0.7144,0.5002,0.7501,0.8001,0.5002,0.091,0.7144,0.2002,0.0768,0.3333,0.2002,0.7144,0.0,0.2002,0.0768,0.0,0.5002,0.5002,0.0768,0.091,0.0,0.1428,0.8001,0.5002,0.0768,0.2002,0.8001,0.5002,0.8572,0.5002,0.7779,0.7501,0.7779,0.7779,0.2002
18,0.6,0.091,0.2499,0.4285,0.4285,0.4285,0.2499,0.4998,0.6,0.2499,0.091,0.4285,0.0,0.2308,0.1109,0.0,0.4285,0.1668,0.0,0.2308,0.1668,0.2499,0.2499,0.2308,0.091,0.1668,0.2858,0.6,0.2499,0.2308,0.0,0.6,0.2499,0.7142,0.2499,0.5555,0.4998,0.5555,0.5555,0.0
19,0.8999,0.1818,0.625,0.857,0.857,0.857,0.625,0.8749,0.8999,0.625,0.1818,0.857,0.3,0.0,0.4443,0.3,0.857,0.0832,0.3,0.0,0.0832,0.625,0.625,0.0,0.1818,0.0832,0.0715,0.8999,0.625,0.0,0.3,0.8999,0.625,0.9285,0.625,0.8888,0.8749,0.8888,0.8888,0.3
20,0.8001,0.091,0.5002,0.7144,0.7144,0.7144,0.5002,0.7501,0.8001,0.5002,0.091,0.7144,0.2002,0.0768,0.3333,0.2002,0.7144,0.0,0.2002,0.0768,0.0,0.5002,0.5002,0.0768,0.091,0.0,0.1428,0.8001,0.5002,0.0768,0.2002,0.8001,0.5002,0.8572,0.5002,0.7779,0.7501,0.7779,0.7779,0.2002
21,0.4,0.2727,0.0,0.143,0.143,0.143,0.0,0.2499,0.4,0.0,0.2727,0.143,0.2,0.3846,0.1112,0.2,0.143,0.3334,0.2,0.3846,0.3334,0.0,0.0,0.3846,0.2727,0.3334,0.4286,0.4,0.0,0.3846,0.2,0.4,0.0,0.5714,0.0,0.3333,0.2499,0.3333,0.3333,0.2
22,0.4,0.2727,0.0,0.143,0.143,0.143,0.0,0.2499,0.4,0.0,0.2727,0.143,0.2,0.3846,0.1112,0.2,0.143,0.3334,0.2,0.3846,0.3334,0.0,0.0,0.3846,0.2727,0.3334,0.4286,0.4,0.0,0.3846,0.2,0.4,0.0,0.5714,0.0,0.3333,0.2499,0.3333,0.3333,0.2
23,0.8999,0.1818,0.625,0.857,0.857,0.857,0.625,0.8749,0.8999,0.625,0.1818,0.857,0.3,0.0,0.4443,0.3,0.857,0.0832,0.3,0.0,0.0832,0.625,0.625,0.0,0.1818,0.0832,0.0715,0.8999,0.625,0.0,0.3,0.8999,0.625,0.9285,0.625,0.8888,0.8749,0.8888,0.8888,0.3
24,0.7,0.0,0.375,0.5715,0.5715,0.5715,0.375,0.625,0.7,0.375,0.0,0.5715,0.1001,0.1538,0.2221,0.1001,0.5715,0.0834,0.1001,0.1538,0.0834,0.375,0.375,0.1538,0.0,0.0834,0.2143,0.7,0.375,0.1538,0.1001,0.7,0.375,0.7857,0.375,0.6667,0.625,0.6667,0.6667,0.1001
25,0.8001,0.091,0.5002,0.7144,0.7144,0.7144,0.5002,0.7501,0.8001,0.5002,0.091,0.7144,0.2002,0.0768,0.3333,0.2002,0.7144,0.0,0.2002,0.0768,0.0,0.5002,0.5002,0.0768,0.091,0.0,0.1428,0.8001,0.5002,0.0768,0.2002,0.8001,0.5002,0.8572,0.5002,0.7779,0.7501,0.7779,0.7779,0.2002
26,1.0,0.2727,0.7501,1.0,1.0,1.0,0.7501,1.0,1.0,0.7501,0.2727,1.0,0.4001,0.077,0.5555,0.4001,1.0,0.1666,0.4001,0.077,0.1666,0.7501,0.7501,0.077,0.2727,0.1666,0.0,1.0,0.7501,0.077,0.4001,1.0,0.7501,1.0,0.7501,1.0,1.0,1.0,1.0,0.4001
