,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.0,0.0,0.0,0.2503,0.1668,0.1668,0.1668,0.2857,0.0,0.2503,0.6001,0.2503,0.6668,0.6001,0.0,0.6668,0.6668,0.5,0.7143,0.5,0.1668,0.6668,0.6001,0.6001,0.7143,0.6001,0.6668,0.6001,0.2503,0.5,0.2503,0.0,0.2503,0.0,0.2503,0.0,0.0,0.0,0.1668,0.0
1,0.0,0.0,0.0,0.2503,0.1668,0.1668,0.1668,0.2857,0.0,0.2503,0.6001,0.2503,0.6668,0.6001,0.0,0.6668,0.6668,0.5,0.7143,0.5,0.1668,0.6668,0.6001,0.6001,0.7143,0.6001,0.6668,0.6001,0.2503,0.5,0.2503,0.0,0.2503,0.0,0.2503,0.0,0.0,0.0,0.1668,0.0
2,0.0,0.0,0.0,0.2503,0.1668,0.1668,0.1668,0.2857,0.0,0.2503,0.6001,0.2503,0.6668,0.6001,0.0,0.6668,0.6668,0.5,0.7143,0.5,0.1668,0.6668,0.6001,0.6001,0.7143,0.6001,0.6668,0.6001,0.2503,0.5,0.2503,0.0,0.2503,0.0,0.2503,0.0,0.0,0.0,0.1668,0.0
3,0.2002,0.2002,0.2002,0.0,0.3336,0.3336,0.3336,0.4287,0.2002,0.0,0.3999,0.0,0.5,0.3999,0.2002,0.5,0.5,0.2497,0.5713,0.2497,0.3336,0.5,0.3999,0.3999,0.5713,0.3999,0.5,0.3999,0.0,0.2497,0.0,0.2002,0.0,0.2002,0.0,0.2002,0.2002,0.2002,0.3336,0.2002
4,0.2002,0.2002,0.2002,0.5006,0.0,0.0,0.0,0.1427,0.2002,0.5006,0.8003,0.5006,0.8336,0.8003,0.2002,0.8336,0.8336,0.7503,0.8573,0.7503,0.0,0.8336,0.8003,0.8003,0.8573,0.8003,0.8336,0.8003,0.5006,0.7503,0.5006,0.2002,0.5006,0.2002,0.5006,0.2002,0.2002,0.2002,0.0,0.2002
5,0.2002,0.2002,0.2002,0.5006,0.0,0.0,0.0,0.1427,0.2002,0.5006,0.8003,0.5006,0.8336,0.8003,0.2002,0.8336,0.8336,0.7503,0.8573,0.7503,0.0,0.8336,0.8003,0.8003,0.8573,0.8003,0.8336,0.8003,0.5006,0.7503,0.5006,0.2002,0.5006,0.2002,0.5006,0.2002,0.2002,0.2002,0.0,0.2002
6,0.2002,0.2002,0.2002,0.5006,0.0,0.0,0.0,0.1427,0.2002,0.5006,0.8003,0.5006,0.8336,0.8003,0.2002,0.8336,0.8336,0.7503,0.8573,0.7503,0.0,0.8336,0.8003,0.8003,0.8573,0.8003,0.8336,0.8003,0.5006,0.7503,0.5006,0.2002,0.5006,0.2002,0.5006,0.2002,0.2002,0.2002,0.0,0.2002
7,0.3999,0.3999,0.3999,0.7503,0.1664,0.1664,0.1664,0.0,0.3999,0.7503,1.0,0.7503,1.0,1.0,0.3999,1.0,1.0,1.0,1.0,1.0,0.1664,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7503,1.0,0.7503,0.3999,0.7503,0.3999,0.7503,0.3999,0.3999,0.3999,0.1664,0.3999
8,0.0,0.0,0.0,0.2503,0.1668,0.1668,0.1668,0.2857,0.0,0.2503,0.6001,0.2503,0.6668,0.6001,0.0,0.6668,0.6668,0.5,0.7143,0.5,0.1668,0.6668,0.6001,0.6001,0.7143,0.6001,0.6668,0.6001,0.2503,0.5,0.2503,0.0,0.2503,0.0,0.2503,0.0,0.0,0.0,0.1668,0.0
9,0.2002,0.2002,0.2002,0.0,0.3336,0.3336,0.3336,0.4287,0.2002,0.0,0.3999,0.0,0.5,0.3999,0.2002,0.5,0.5,0.2497,0.5713,0.2497,0.3336,0.5,0.3999,0.3999,0.5713,0.3999,0.5,0.3999,0.0,0.2497,0.0,0.2002,0.0,0.2002,0.0,0.2002,0.2002,0.2002,0.3336,0.2002
