,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.0,0.5557,0.5557,0.1112,0.5557,0.0,0.2502,0.0908,0.0,0.5002,0.6365,0.5002,0.6001,0.6365,0.5002,0.6365,0.2502,0.6365,0.6668,0.6668,0.5002,0.6365,0.4285,0.2502,0.6668,0.6924,0.5557,0.2502,0.0,0.7144,0.6001,0.4285,0.5002,0.1112,0.5557,0.5557,0.4285,0.5002,0.2856,0.5557
1,0.5001,0.0,0.0,0.4445,0.0,0.5001,0.375,0.5455,0.5001,0.1251,0.1818,0.1251,0.0999,0.1818,0.1251,0.1818,0.375,0.1818,0.25,0.25,0.1251,0.1818,0.2859,0.375,0.25,0.3076,0.0,0.375,0.5001,0.3571,0.0999,0.2859,0.1251,0.4445,0.0,0.0,0.2859,0.1251,0.6429,0.0
2,0.5001,0.0,0.0,0.4445,0.0,0.5001,0.375,0.5455,0.5001,0.1251,0.1818,0.1251,0.0999,0.1818,0.1251,0.1818,0.375,0.1818,0.25,0.25,0.1251,0.1818,0.2859,0.375,0.25,0.3076,0.0,0.375,0.5001,0.3571,0.0999,0.2859,0.1251,0.4445,0.0,0.0,0.2859,0.1251,0.6429,0.0
3,0.1001,0.4445,0.4445,0.0,0.4445,0.1001,0.1251,0.1818,0.1001,0.375,0.5455,0.375,0.5,0.5455,0.375,0.5455,0.1251,0.5455,0.5834,0.5834,0.375,0.5455,0.2856,0.1251,0.5834,0.6154,0.4445,0.1251,0.1001,0.6429,0.5,0.2856,0.375,0.0,0.4445,0.4445,0.2856,0.375,0.3571,0.4445
4,0.5001,0.0,0.0,0.4445,0.0,0.5001,0.375,0.5455,0.5001,0.1251,0.1818,0.1251,0.0999,0.1818,0.1251,0.1818,0.375,0.1818,0.25,0.25,0.1251,0.1818,0.2859,0.375,0.25,0.3076,0.0,0.375,0.5001,0.3571,0.0999,0.2859,0.1251,0.4445,0.0,0.0,0.2859,0.1251,0.6429,0.0
5,0.0,0.5557,0.5557,0.1112,0.5557,0.0,0.2502,0.0908,0.0,0.5002,0.6365,0.5002,0.6001,0.6365,0.5002,0.6365,0.2502,0.6365,0.6668,0.6668,0.5002,0.6365,0.4285,0.2502,0.6668,0.6924,0.5557,0.2502,0.0,0.7144,0.6001,0.4285,0.5002,0.1112,0.5557,0.5557,0.4285,0.5002,0.2856,0.5557
6,0.2001,0.3333,0.3333,0.1112,0.3333,0.2001,0.0,0.2727,0.2001,0.2499,0.4545,0.2499,0.3999,0.4545,0.2499,0.4545,0.0,0.4545,0.5,0.5,0.2499,0.4545,0.1426,0.0,0.5,0.5384,0.3333,0.0,0.2001,0.5714,0.3999,0.1426,0.2499,0.1112,0.3333,0.3333,0.1426,0.2499,0.4286,0.3333
7,0.0998,0.6667,0.6667,0.2221,0.6667,0.0998,0.375,0.0,0.0998,0.625,0.7273,0.625,0.7,0.7273,0.625,0.7273,0.375,0.7273,0.75,0.75,0.625,0.7273,0.5711,0.375,0.75,0.7692,0.6667,0.375,0.0998,0.7857,0.7,0.5711,0.625,0.2221,0.6667,0.6667,0.5711,0.625,0.2143,0.6667
8,0.0,0.5557,0.5557,0.1112,0.5557,0.0,0.2502,0.0908,0.0,0.5002,0.6365,0.5002,0.6001,0.6365,0.5002,0.6365,0.2502,0.6365,0.6668,0.6668,0.5002,0.6365,0.4285,0.2502,0.6668,0.6924,0.5557,0.2502,0.0,0.7144,0.6001,0.4285,0.5002,0.1112,0.5557,0.5557,0.4285,0.5002,0.2856,0.5557
9,0.4,0.1112,0.1112,0.3333,0.1112,0.4,0.2499,0.4545,0.4,0.0,0.2727,0.0,0.2,0.2727,0.0,0.2727,0.2499,0.2727,0.3334,0.3334,0.0,0.2727,0.143,0.2499,0.3334,0.3846,0.1112,0.2499,0.4,0.4286,0.2,0.143,0.0,0.3333,0.1112,0.1112,0.143,0.0,0.5714,0.1112
