,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.0,0.1362,0.0,0.3667,0.0,0.24,0.3213,0.4062,0.4062,0.3213,0.3213,0.3213,0.5358,0.2084,0.0499,0.1878,0.5938,0.4584,0.1878,0.1878,0.0499,0.0499,0.2084,0.1878,0.3213,0.3213,0.3213,0.2084,0.4062,0.2084
1,0.1577,0.0,0.1577,0.2669,0.1577,0.1202,0.2143,0.3126,0.3126,0.2143,0.2143,0.2143,0.6428,0.0836,0.0999,0.3749,0.6874,0.5832,0.3749,0.3749,0.0999,0.0999,0.0836,0.3749,0.2143,0.2143,0.2143,0.0836,0.3126,0.0836
2,0.0,0.1362,0.0,0.3667,0.0,0.24,0.3213,0.4062,0.4062,0.3213,0.3213,0.3213,0.5358,0.2084,0.0499,0.1878,0.5938,0.4584,0.1878,0.1878,0.0499,0.0499,0.2084,0.1878,0.3213,0.3213,0.3213,0.2084,0.4062,0.2084
3,0.5791,0.364,0.5791,0.0,0.5791,0.2001,0.0717,0.0624,0.0624,0.0717,0.0717,0.0717,0.9287,0.25,0.5002,0.8752,0.9376,0.9168,0.8752,0.8752,0.5002,0.5002,0.25,0.8752,0.0717,0.0717,0.0717,0.25,0.0624,0.25
4,0.0,0.1362,0.0,0.3667,0.0,0.24,0.3213,0.4062,0.4062,0.3213,0.3213,0.3213,0.5358,0.2084,0.0499,0.1878,0.5938,0.4584,0.1878,0.1878,0.0499,0.0499,0.2084,0.1878,0.3213,0.3213,0.3213,0.2084,0.4062,0.2084
5,0.3158,0.1366,0.3158,0.1667,0.3158,0.0,0.107,0.2187,0.2187,0.107,0.107,0.107,0.7501,0.0416,0.2501,0.5627,0.7813,0.7084,0.5627,0.5627,0.2501,0.2501,0.0416,0.5627,0.107,0.107,0.107,0.0416,0.2187,0.0416
6,0.4735,0.2728,0.4735,0.0669,0.4735,0.1198,0.0,0.1251,0.1251,0.0,0.0,0.0,0.857,0.1664,0.3999,0.7499,0.8749,0.8332,0.7499,0.7499,0.3999,0.3999,0.1664,0.7499,0.0,0.0,0.0,0.1664,0.1251,0.1664
7,0.6842,0.4548,0.6842,0.0666,0.6842,0.28,0.143,0.0,0.0,0.143,0.143,0.143,1.0,0.3332,0.6001,1.0,1.0,1.0,1.0,1.0,0.6001,0.6001,0.3332,1.0,0.143,0.143,0.143,0.3332,0.0,0.3332
8,0.6842,0.4548,0.6842,0.0666,0.6842,0.28,0.143,0.0,0.0,0.143,0.143,0.143,1.0,0.3332,0.6001,1.0,1.0,1.0,1.0,1.0,0.6001,0.6001,0.3332,1.0,0.143,0.143,0.143,0.3332,0.0,0.3332
9,0.4735,0.2728,0.4735,0.0669,0.4735,0.1198,0.0,0.1251,0.1251,0.0,0.0,0.0,0.857,0.1664,0.3999,0.7499,0.8749,0.8332,0.7499,0.7499,0.3999,0.3999,0.1664,0.7499,0.0,0.0,0.0,0.1664,0.1251,0.1664
10,0.4735,0.2728,0.4735,0.0669,0.4735,0.1198,0.0,0.1251,0.1251,0.0,0.0,0.0,0.857,0.1664,0.3999,0.7499,0.8749,0.8332,0.7499,0.7499,0.3999,0.3999,0.1664,0.7499,0.0,0.0,0.0,0.1664,0.1251,0.1664
11,0.4735,0.2728,0.4735,0.0669,0.4735,0.1198,0.0,0.1251,0.1251,0.0,0.0,0.0,0.857,0.1664,0.3999,0.7499,0.8749,0.8332,0.7499,0.7499,0.3999,0.3999,0.1664,0.7499,0.0,0.0,0.0,0.1664,0.1251,0.1664
12,0.7898,0.8184,0.7898,0.8669,0.7898,0.8402,0.8573,0.8752,0.8752,0.8573,0.8573,0.8573,0.0,0.8336,0.8003,0.7499,0.1248,0.1668,0.7499,0.7499,0.8003,0.8003,0.8336,0.7499,0.8573,0.8573,0.8573,0.8336,0.8752,0.8336
13,0.2633,0.0912,0.2633,0.2,0.2633,0.0399,0.1427,0.2499,0.2499,0.1427,0.1427,0.1427,0.7144,0.0,0.2002,0.5003,0.7501,0.6668,0.5003,0.5003,0.2002,0.2002,0.0,0.5003,0.1427,0.1427,0.1427,0.0,0.2499,0.0
14,0.0526,0.0908,0.0526,0.3334,0.0526,0.2001,0.2857,0.375,0.375,0.2857,0.2857,0.2857,0.5715,0.1668,0.0,0.2501,0.625,0.5,0.2501,0.2501,0.0,0.0,0.1668,0.2501,0.2857,0.2857,0.2857,0.1668,0.375,0.1668
15,0.1582,0.2728,0.1582,0.4669,0.1582,0.3602,0.4287,0.5002,0.5002,0.4287,0.4287,0.4287,0.4285,0.3336,0.2002,0.0,0.4998,0.3332,0.0,0.0,0.2002,0.2002,0.3336,0.0,0.4287,0.4287,0.4287,0.3336,0.5002,0.3336
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1426,1.0,1.0,0.9994,0.0,0.3332,0.9994,0.9994,1.0,1.0,1.0,0.9994,1.0,1.0,1.0,1.0,1.0,1.0
17,0.5791,0.6364,0.5791,0.7334,0.5791,0.6801,0.7143,0.7501,0.7501,0.7143,0.7143,0.7143,0.143,0.6668,0.6001,0.4997,0.2499,0.0,0.4997,0.4997,0.6001,0.6001,0.6668,0.4997,0.7143,0.7143,0.7143,0.6668,0.7501,0.6668
18,0.1582,0.2728,0.1582,0.4669,0.1582,0.3602,0.4287,0.5002,0.5002,0.4287,0.4287,0.4287,0.4285,0.3336,0.2002,0.0,0.4998,0.3332,0.0,0.0,0.2002,0.2002,0.3336,0.0,0.4287,0.4287,0.4287,0.3336,0.5002,0.3336
19,0.1582,0.2728,0.1582,0.4669,0.1582,0.3602,0.4287,0.5002,0.5002,0.4287,0.4287,0.4287,0.4285,0.3336,0.2002,0.0,0.4998,0.3332,0.0,0.0,0.2002,0.2002,0.3336,0.0,0.4287,0.4287,0.4287,0.3336,0.5002,0.3336
20,0.0526,0.0908,0.0526,0.3334,0.0526,0.2001,0.2857,0.375,0.375,0.2857,0.2857,0.2857,0.5715,0.1668,0.0,0.2501,0.625,0.5,0.2501,0.2501,0.0,0.0,0.1668,0.2501,0.2857,0.2857,0.2857,0.1668,0.375,0.1668
21,0.0526,0.0908,0.0526,0.3334,0.0526,0.2001,0.2857,0.375,0.375,0.2857,0.2857,0.2857,0.5715,0.1668,0.0,0.2501,0.625,0.5,0.2501,0.2501,0.0,0.0,0.1668,0.2501,0.2857,0.2857,0.2857,0.1668,0.375,0.1668
22,0.2633,0.0912,0.2633,0.2,0.2633,0.0399,0.1427,0.2499,0.2499,0.1427,0.1427,0.1427,0.7144,0.0,0.2002,0.5003,0.7501,0.6668,0.5003,0.5003,0.2002,0.2002,0.0,0.5003,0.1427,0.1427,0.1427,0.0,0.2499,0.0
23,0.1582,0.2728,0.1582,0.4669,0.1582,0.3602,0.4287,0.5002,0.5002,0.4287,0.4287,0.4287,0.4285,0.3336,0.2002,0.0,0.4998,0.3332,0.0,0.0,0.2002,0.2002,0.3336,0.0,0.4287,0.4287,0.4287,0.3336,0.5002,0.3336
24,0.4735,0.2728,0.4735,0.0669,0.4735,0.1198,0.0,0.1251,0.1251,0.0,0.0,0.0,0.857,0.1664,0.3999,0.7499,0.8749,0.8332,0.7499,0.7499,0.3999,0.3999,0.1664,0.7499,0.0,0.0,0.0,0.1664,0.1251,0.1664
25,0.4735,0.2728,0.4735,0.0669,0.4735,0.1198,0.0,0.1251,0.1251,0.0,0.0,0.0,0.857,0.1664,0.3999,0.7499,0.8749,0.8332,0.7499,0.7499,0.3999,0.3999,0.1664,0.7499,0.0,0.0,0.0,0.1664,0.1251,0.1664
26,0.4735,0.2728,0.4735,0.0669,0.4735,0.1198,0.0,0.1251,0.1251,0.0,0.0,0.0,0.857,0.1664,0.3999,0.7499,0.8749,0.8332,0.7499,0.7499,0.3999,0.3999,0.1664,0.7499,0.0,0.0,0.0,0.1664,0.1251,0.1664
27,0.2633,0.0912,0.2633,0.2,0.2633,0.0399,0.1427,0.2499,0.2499,0.1427,0.1427,0.1427,0.7144,0.0,0.2002,0.5003,0.7501,0.6668,0.5003,0.5003,0.2002,0.2002,0.0,0.5003,0.1427,0.1427,0.1427,0.0,0.2499,0.0
28,0.6842,0.4548,0.6842,0.0666,0.6842,0.28,0.143,0.0,0.0,0.143,0.143,0.143,1.0,0.3332,0.6001,1.0,1.0,1.0,1.0,1.0,0.6001,0.6001,0.3332,1.0,0.143,0.143,0.143,0.3332,0.0,0.3332
29,0.2633,0.0912,0.2633,0.2,0.2633,0.0399,0.1427,0.2499,0.2499,0.1427,0.1427,0.1427,0.7144,0.0,0.2002,0.5003,0.7501,0.6668,0.5003,0.5003,0.2002,0.2002,0.0,0.5003,0.1427,0.1427,0.1427,0.0,0.2499,0.0
