,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.0,0.0571,0.0294,0.2069,0.1316,0.1082,0.0835,0.425,0.2811,0.4772,0.425,0.0312,0.0312,0.2501,0.2811,0.2501,0.3126,0.3126,0.3126,0.3654,0.0835,0.2811,0.425,0.4108,0.0835,0.0835,0.1786,0.0312,0.5892,0.0835
1,0.0605,0.0,0.0294,0.2757,0.0791,0.0542,0.028,0.4749,0.3435,0.5226,0.4749,0.0936,0.0936,0.2047,0.3435,0.2047,0.271,0.271,0.271,0.327,0.028,0.3435,0.4749,0.3751,0.028,0.028,0.2499,0.0936,0.6249,0.028
2,0.0303,0.0285,0.0,0.2413,0.1054,0.0812,0.0557,0.45,0.3123,0.4999,0.45,0.0624,0.0624,0.2274,0.3123,0.2274,0.2918,0.2918,0.2918,0.3462,0.0557,0.3123,0.45,0.3929,0.0557,0.0557,0.2143,0.0624,0.6071,0.0557
3,0.1818,0.2285,0.2059,0.0,0.2895,0.2704,0.2501,0.275,0.0936,0.3408,0.275,0.1563,0.1563,0.3864,0.0936,0.3864,0.4376,0.4376,0.4376,0.4808,0.2501,0.0936,0.275,0.5179,0.2501,0.2501,0.0357,0.1563,0.4821,0.2501
4,0.1516,0.0859,0.1178,0.3793,0.0,0.027,0.0555,0.55,0.4374,0.5909,0.55,0.1875,0.1875,0.1364,0.4374,0.1364,0.2084,0.2084,0.2084,0.2692,0.0555,0.4374,0.55,0.3214,0.0555,0.0555,0.3572,0.1875,0.6786,0.0555
5,0.1213,0.0573,0.0884,0.3449,0.0263,0.0,0.0277,0.5251,0.4062,0.5682,0.5251,0.1563,0.1563,0.1591,0.4062,0.1591,0.2292,0.2292,0.2292,0.2884,0.0277,0.4062,0.5251,0.3393,0.0277,0.0277,0.3216,0.1563,0.6607,0.0277
6,0.0911,0.0288,0.059,0.3105,0.0526,0.027,0.0,0.5001,0.375,0.5455,0.5001,0.1251,0.1251,0.1818,0.375,0.1818,0.25,0.25,0.25,0.3076,0.0,0.375,0.5001,0.3571,0.0,0.0,0.2859,0.1251,0.6429,0.0
7,0.5153,0.5429,0.5295,0.3793,0.5791,0.5677,0.5557,0.0,0.2502,0.0908,0.0,0.5002,0.5002,0.6365,0.2502,0.6365,0.6668,0.6668,0.6668,0.6924,0.5557,0.2502,0.0,0.7144,0.5557,0.5557,0.4285,0.5002,0.2856,0.5557
8,0.2726,0.3141,0.294,0.1033,0.3684,0.3513,0.3333,0.2001,0.0,0.2727,0.2001,0.2499,0.2499,0.4545,0.0,0.4545,0.5,0.5,0.5,0.5384,0.3333,0.0,0.2001,0.5714,0.3333,0.3333,0.1426,0.2499,0.4286,0.3333
9,0.6363,0.6571,0.647,0.517,0.6842,0.6757,0.6667,0.0998,0.375,0.0,0.0998,0.625,0.625,0.7273,0.375,0.7273,0.75,0.75,0.75,0.7692,0.6667,0.375,0.0998,0.7857,0.6667,0.6667,0.5711,0.625,0.2143,0.6667
