,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.0,0.5455,0.5,0.2857,0.2857,0.5,0.0,0.4,0.4,0.4444,0.1429,0.4545,0.25,0.5455,0.5,0.5455,0.1429,0.4545,0.1429,0.0,0.3333,0.4545,0.1667,0.4,0.0,0.25,0.25,0.25,0.1429,0.1429
1,1.0,0.0,0.1,0.5714,0.5714,0.1,1.0,1.0,1.0,0.2222,1.0,1.0,1.0,0.0,0.1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.8333,0.0909,0.0,0.4286,0.4286,0.0,0.8333,0.9,0.9,0.1111,0.8571,0.9091,0.875,0.0909,0.0,0.0909,0.8571,0.9091,0.8571,0.8333,0.8889,0.9091,0.6667,0.9,0.8333,0.875,0.875,0.875,0.8571,0.8571
3,0.3333,0.3636,0.3,0.0,0.0,0.3,0.3333,0.6,0.6,0.2222,0.4286,0.6364,0.5,0.3636,0.3,0.3636,0.4286,0.6364,0.4286,0.3333,0.5556,0.6364,0.1667,0.6,0.3333,0.5,0.5,0.5,0.4286,0.4286
4,0.3333,0.3636,0.3,0.0,0.0,0.3,0.3333,0.6,0.6,0.2222,0.4286,0.6364,0.5,0.3636,0.3,0.3636,0.4286,0.6364,0.4286,0.3333,0.5556,0.6364,0.1667,0.6,0.3333,0.5,0.5,0.5,0.4286,0.4286
5,0.8333,0.0909,0.0,0.4286,0.4286,0.0,0.8333,0.9,0.9,0.1111,0.8571,0.9091,0.875,0.0909,0.0,0.0909,0.8571,0.9091,0.8571,0.8333,0.8889,0.9091,0.6667,0.9,0.8333,0.875,0.875,0.875,0.8571,0.8571
6,0.0,0.5455,0.5,0.2857,0.2857,0.5,0.0,0.4,0.4,0.4444,0.1429,0.4545,0.25,0.5455,0.5,0.5455,0.1429,0.4545,0.1429,0.0,0.3333,0.4545,0.1667,0.4,0.0,0.25,0.25,0.25,0.1429,0.1429
7,0.6667,0.9091,0.9,0.8571,0.8571,0.9,0.6667,0.0,0.0,0.8889,0.4286,0.0909,0.25,0.9091,0.9,0.9091,0.4286,0.0909,0.4286,0.6667,0.1111,0.0909,0.8333,0.0,0.6667,0.25,0.25,0.25,0.4286,0.4286
8,0.6667,0.9091,0.9,0.8571,0.8571,0.9,0.6667,0.0,0.0,0.8889,0.4286,0.0909,0.25,0.9091,0.9,0.9091,0.4286,0.0909,0.4286,0.6667,0.1111,0.0909,0.8333,0.0,0.6667,0.25,0.25,0.25,0.4286,0.4286
9,0.6667,0.1818,0.1,0.2857,0.2857,0.1,0.6667,0.8,0.8,0.0,0.7143,0.8182,0.75,0.1818,0.1,0.1818,0.7143,0.8182,0.7143,0.6667,0.7778,0.8182,0.5,0.8,0.6667,0.75,0.75,0.75,0.7143,0.7143
