,1,2,3,4,5,6,7,8,9,10,11,12,13
0,85.0,25.0,55.0,45.0,60.0,90.0,60.0,65.0,30.0,35.0,90.0,50.0,85.0
1,90.0,50.0,80.0,55.0,80.0,90.0,50.0,75.0,55.0,65.0,60.0,45.0,50.0
2,0.0,30.0,55.0,60.0,50.0,60.0,30.0,25.0,30.0,45.0,40.0,25.0,30.0
3,85.0,30.0,60.0,85.0,55.0,90.0,55.0,45.0,30.0,90.0,85.0,85.0,70.0
4,0.0,20.0,45.0,30.0,45.0,65.0,85.0,55.0,45.0,30.0,35.0,15.0,80.0
5,0.0,70.0,60.0,100.0,95.0,95.0,30.0,45.0,45.0,80.0,80.0,90.0,55.0
6,10.0,50.0,70.0,30.0,40.0,55.0,80.0,45.0,40.0,40.0,35.0,25.0,70.0
7,55.0,15.0,35.0,20.0,25.0,50.0,75.0,75.0,50.0,15.0,45.0,5.0,90.0
8,45.0,15.0,40.0,55.0,40.0,60.0,65.0,75.0,25.0,60.0,45.0,30.0,65.0
9,5.0,65.0,65.0,70.0,85.0,90.0,55.0,80.0,35.0,70.0,70.0,65.0,70.0
10,0.0,35.0,55.0,70.0,65.0,85.0,45.0,40.0,30.0,60.0,65.0,55.0,80.0
11,60.0,5.0,30.0,20.0,20.0,15.0,45.0,50.0,35.0,15.0,40.0,5.0,50.0
12,55.0,5.0,45.0,75.0,25.0,40.0,70.0,55.0,25.0,80.0,75.0,50.0,75.0
13,95.0,15.0,60.0,35.0,75.0,45.0,20.0,50.0,45.0,60.0,40.0,35.0,50.0
14,0.0,70.0,65.0,50.0,90.0,75.0,60.0,55.0,30.0,65.0,40.0,50.0,75.0
15,40.0,40.0,75.0,80.0,60.0,85.0,45.0,45.0,45.0,80.0,75.0,75.0,40.0
16,75.0,30.0,35.0,20.0,40.0,25.0,45.0,30.0,20.0,45.0,35.0,15.0,70.0
17,0.0,10.0,45.0,60.0,50.0,65.0,65.0,45.0,35.0,40.0,60.0,20.0,80.0
18,75.0,20.0,40.0,15.0,45.0,35.0,35.0,20.0,20.0,50.0,40.0,5.0,45.0
19,90.0,20.0,65.0,40.0,60.0,60.0,55.0,65.0,15.0,30.0,75.0,55.0,85.0
20,15.0,50.0,50.0,35.0,45.0,55.0,45.0,30.0,25.0,55.0,35.0,10.0,65.0
21,0.0,45.0,45.0,45.0,45.0,50.0,75.0,55.0,20.0,40.0,65.0,35.0,65.0
22,25.0,45.0,75.0,35.0,70.0,35.0,80.0,60.0,20.0,35.0,35.0,15.0,30.0
23,70.0,35.0,40.0,45.0,70.0,60.0,20.0,30.0,15.0,60.0,40.0,20.0,65.0
24,75.0,45.0,65.0,65.0,75.0,70.0,25.0,25.0,30.0,75.0,55.0,50.0,50.0
25,45.0,40.0,65.0,70.0,35.0,50.0,55.0,15.0,40.0,95.0,60.0,55.0,60.0
26,65.0,20.0,50.0,50.0,50.0,50.0,45.0,30.0,15.0,50.0,55.0,50.0,70.0
27,85.0,35.0,55.0,45.0,45.0,65.0,20.0,55.0,35.0,35.0,50.0,15.0,90.0
28,80.0,45.0,55.0,45.0,40.0,75.0,50.0,50.0,20.0,40.0,70.0,50.0,65.0
29,80.0,50.0,75.0,95.0,40.0,65.0,40.0,20.0,15.0,65.0,85.0,70.0,35.0
