ornamentation,grooviness,familiarity,liking,consonance,valence,excitement,sound_quality,tempo,rhythmic_regularity,vocal_range,vocal_tension,vocal_texture,instrument_vocal_overlap,instrument_overlap,instrument_tone_blend,instrument_rhythm_blend
51.73,37.02,79.46,70.89,75.06,62.14,36.73,79.76,40.54,80.06,42.2,20.12,0.0,36.96,55.36,60.65,64.11
44.11,59.11,39.4,58.15,65.89,64.82,70.89,84.35,46.67,63.87,41.55,37.26,14.7,57.86,58.45,45.3,63.81
55.06,59.11,69.23,71.01,78.1,67.44,72.98,86.55,54.17,82.56,49.88,38.04,16.25,33.33,59.52,64.52,64.52
53.87,52.08,54.82,67.26,61.19,54.64,60.3,75.6,60.6,71.61,61.43,56.61,10.95,43.63,65.24,49.29,59.58
54.94,41.61,61.61,67.74,74.05,66.25,49.46,86.13,34.94,59.82,42.62,32.56,12.62,57.8,60.12,49.58,50.65
45.3,58.33,27.68,63.99,73.27,64.4,62.62,71.9,53.15,73.81,40.71,33.69,5.36,50.71,55.65,50.3,58.57
50.0,20.0,80.0,70.0,70.0,70.0,30.0,70.0,30.0,60.0,40.0,30.0,10.0,50.0,50.0,50.0,40.0
40.0,30.0,50.0,50.0,50.0,40.0,40.0,60.0,30.0,60.0,30.0,50.0,0.0,50.0,40.0,50.0,50.0
50.0,40.0,40.0,40.0,50.0,50.0,30.0,60.0,40.0,70.0,40.0,40.0,0.0,40.0,30.0,40.0,60.0
60.0,10.0,40.0,70.0,70.0,50.0,30.0,70.0,20.0,60.0,40.0,50.0,0.0,40.0,30.0,40.0,40.0
40.0,10.0,40.0,40.0,50.0,40.0,20.0,60.0,20.0,60.0,30.0,20.0,10.0,50.0,40.0,30.0,30.0
30.0,50.0,50.0,60.0,70.0,70.0,60.0,60.0,40.0,70.0,40.0,30.0,40.0,20.0,50.0,60.0,50.0
71.43,21.43,71.43,64.29,92.86,50.0,42.86,92.86,21.43,64.29,57.14,28.57,7.14,42.86,57.14,50.0,64.29
42.86,50.0,35.71,64.29,71.43,64.29,57.14,64.29,64.29,78.57,42.86,21.43,21.43,42.86,64.29,42.86,64.29
64.29,50.0,64.29,57.14,50.0,42.86,50.0,64.29,50.0,64.29,21.43,21.43,7.14,50.0,57.14,57.14,57.14
42.86,57.14,71.43,78.57,78.57,78.57,78.57,78.57,64.29,92.86,57.14,42.86,0.0,50.0,64.29,57.14,78.57
57.14,64.29,92.86,64.29,71.43,78.57,85.71,92.86,57.14,78.57,42.86,64.29,7.14,50.0,78.57,64.29,78.57
64.29,64.29,42.86,85.71,71.43,85.71,78.57,85.71,50.0,71.43,50.0,57.14,0.0,21.43,57.14,71.43,71.43
58.33,75.0,75.0,66.67,83.33,75.0,75.0,91.67,58.33,75.0,33.33,41.67,33.33,58.33,83.33,58.33,58.33
58.33,83.33,25.0,91.67,91.67,83.33,83.33,83.33,58.33,66.67,50.0,33.33,0.0,50.0,58.33,58.33,50.0
75.0,25.0,83.33,83.33,91.67,75.0,41.67,83.33,50.0,75.0,75.0,41.67,0.0,41.67,75.0,66.67,83.33
58.33,58.33,41.67,50.0,41.67,66.67,91.67,83.33,75.0,58.33,41.67,58.33,41.67,50.0,66.67,58.33,58.33
66.67,58.33,66.67,75.0,66.67,50.0,50.0,100.0,41.67,50.0,66.67,50.0,25.0,50.0,58.33,50.0,58.33
66.67,83.33,25.0,75.0,83.33,83.33,75.0,91.67,83.33,58.33,58.33,25.0,8.33,58.33,66.67,50.0,66.67
40.0,50.0,20.0,70.0,50.0,70.0,50.0,90.0,30.0,40.0,40.0,30.0,0.0,80.0,50.0,40.0,40.0
40.0,70.0,0.0,50.0,80.0,70.0,70.0,80.0,60.0,90.0,40.0,30.0,0.0,60.0,60.0,50.0,70.0
40.0,50.0,40.0,70.0,70.0,70.0,60.0,90.0,40.0,80.0,30.0,20.0,10.0,60.0,60.0,70.0,80.0
40.0,60.0,20.0,60.0,90.0,80.0,70.0,90.0,40.0,80.0,50.0,30.0,0.0,40.0,60.0,80.0,80.0
20.0,0.0,20.0,60.0,80.0,40.0,40.0,80.0,20.0,80.0,40.0,20.0,10.0,40.0,50.0,70.0,80.0
30.0,60.0,100.0,90.0,70.0,70.0,70.0,80.0,30.0,90.0,10.0,60.0,0.0,40.0,60.0,50.0,60.0
