ornamentation,grooviness,familiarity,liking,consonance,valence,excitement,sound_quality,tempo,rhythmic_regularity,vocal_range,vocal_tension,vocal_texture,instrument_vocal_overlap,instrument_overlap,instrument_tone_blend,instrument_rhythm_blend
52.08,33.33,100.0,86.46,83.33,75.0,36.46,86.46,34.38,72.92,44.79,19.79,0.0,46.88,57.29,66.67,53.12
40.62,63.54,46.88,55.21,62.5,65.62,79.17,86.46,50.0,54.17,43.75,39.58,15.62,57.29,63.54,30.21,51.04
54.17,68.75,90.62,72.92,75.0,70.83,87.5,92.71,69.79,77.08,51.04,43.75,18.75,39.58,56.25,51.04,64.58
65.62,43.75,65.62,76.04,64.58,66.67,55.21,89.58,62.5,66.67,63.54,63.54,7.29,50.0,54.17,42.71,54.17
52.08,30.21,77.08,83.33,81.25,77.08,33.33,92.71,33.33,47.92,39.58,38.54,15.62,55.21,56.25,38.54,35.42
39.58,63.54,43.75,71.88,77.08,89.58,66.67,67.71,57.29,64.58,30.21,36.46,6.25,41.67,57.29,48.96,54.17
75.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,25.0,50.0,50.0,25.0,0.0,50.0,50.0,50.0,25.0
50.0,75.0,100.0,75.0,50.0,100.0,75.0,50.0,50.0,50.0,25.0,50.0,0.0,50.0,50.0,50.0,50.0
75.0,75.0,75.0,50.0,50.0,50.0,50.0,75.0,50.0,75.0,50.0,50.0,0.0,25.0,25.0,25.0,50.0
75.0,0.0,100.0,100.0,100.0,50.0,0.0,75.0,25.0,50.0,25.0,50.0,0.0,50.0,25.0,25.0,25.0
50.0,0.0,75.0,75.0,75.0,50.0,0.0,75.0,25.0,50.0,50.0,25.0,25.0,50.0,25.0,25.0,25.0
25.0,50.0,50.0,75.0,75.0,75.0,75.0,50.0,50.0,75.0,50.0,25.0,75.0,25.0,50.0,75.0,50.0
50.0,12.5,75.0,75.0,100.0,50.0,25.0,87.5,25.0,50.0,50.0,37.5,12.5,37.5,50.0,37.5,50.0
50.0,37.5,50.0,62.5,75.0,75.0,50.0,37.5,62.5,75.0,37.5,37.5,25.0,25.0,62.5,37.5,50.0
62.5,62.5,62.5,50.0,37.5,62.5,62.5,62.5,75.0,75.0,12.5,25.0,12.5,50.0,75.0,37.5,50.0
37.5,37.5,75.0,87.5,75.0,62.5,75.0,87.5,50.0,87.5,75.0,62.5,0.0,50.0,62.5,50.0,75.0
50.0,50.0,87.5,62.5,75.0,75.0,75.0,87.5,50.0,62.5,37.5,62.5,0.0,37.5,75.0,50.0,75.0
50.0,37.5,50.0,75.0,75.0,87.5,62.5,75.0,37.5,50.0,37.5,37.5,0.0,25.0,37.5,62.5,62.5
50.0,75.0,100.0,75.0,75.0,75.0,75.0,100.0,50.0,75.0,25.0,75.0,50.0,50.0,75.0,50.0,50.0
25.0,75.0,25.0,100.0,100.0,100.0,75.0,100.0,50.0,50.0,25.0,25.0,0.0,25.0,50.0,75.0,50.0
50.0,0.0,100.0,100.0,75.0,50.0,25.0,100.0,25.0,75.0,75.0,75.0,0.0,25.0,50.0,50.0,75.0
0.0,50.0,50.0,25.0,25.0,75.0,100.0,100.0,100.0,50.0,50.0,75.0,50.0,50.0,50.0,50.0,75.0
25.0,50.0,100.0,75.0,25.0,50.0,75.0,100.0,50.0,25.0,75.0,25.0,25.0,75.0,50.0,0.0,25.0
50.0,50.0,0.0,75.0,75.0,75.0,75.0,100.0,75.0,50.0,50.0,25.0,0.0,50.0,50.0,25.0,50.0
33.33,33.33,33.33,83.33,50.0,83.33,33.33,83.33,33.33,16.67,33.33,16.67,0.0,83.33,50.0,16.67,16.67
33.33,66.67,0.0,50.0,83.33,83.33,66.67,83.33,66.67,83.33,33.33,33.33,0.0,66.67,66.67,33.33,66.67
66.67,66.67,66.67,83.33,83.33,83.33,50.0,83.33,50.0,66.67,33.33,0.0,16.67,33.33,66.67,66.67,83.33
50.0,66.67,0.0,66.67,83.33,83.33,66.67,83.33,33.33,83.33,66.67,33.33,0.0,33.33,66.67,66.67,83.33
16.67,0.0,16.67,50.0,83.33,33.33,33.33,66.67,16.67,83.33,33.33,16.67,16.67,33.33,50.0,66.67,83.33
33.33,66.67,100.0,100.0,83.33,83.33,66.67,83.33,16.67,100.0,0.0,50.0,0.0,16.67,66.67,66.67,66.67
