ornamentation,grooviness,familiarity,liking,consonance,valence,excitement,sound_quality,tempo,rhythmic_regularity,vocal_range,vocal_tension,vocal_texture,instrument_vocal_overlap,instrument_overlap,instrument_tone_blend,instrument_rhythm_blend
37.5,18.75,50.0,65.62,65.62,59.38,37.5,65.62,28.12,78.12,25.0,31.25,0.0,34.38,34.38,40.62,50.0
25.0,62.5,37.5,53.12,53.12,50.0,59.38,59.38,53.12,78.12,15.62,40.62,28.12,43.75,40.62,37.5,59.38
34.38,46.88,46.88,59.38,53.12,56.25,46.88,65.62,43.75,71.88,28.12,37.5,6.25,40.62,46.88,43.75,53.12
37.5,37.5,75.0,68.75,65.62,59.38,43.75,56.25,50.0,84.38,31.25,28.12,6.25,40.62,43.75,56.25,65.62
50.0,37.5,59.38,62.5,62.5,59.38,31.25,56.25,28.12,71.88,28.12,40.62,21.88,46.88,40.62,37.5,53.12
25.0,65.62,43.75,62.5,59.38,65.62,62.5,65.62,50.0,71.88,18.75,28.12,12.5,31.25,46.88,53.12,68.75
25.0,12.5,37.5,25.0,62.5,37.5,37.5,50.0,37.5,62.5,25.0,37.5,0.0,50.0,37.5,37.5,50.0
0.0,37.5,37.5,50.0,62.5,37.5,37.5,62.5,50.0,75.0,12.5,12.5,0.0,37.5,50.0,37.5,50.0
25.0,37.5,62.5,62.5,62.5,37.5,25.0,50.0,37.5,75.0,25.0,12.5,12.5,37.5,62.5,50.0,62.5
12.5,37.5,25.0,25.0,37.5,37.5,37.5,50.0,62.5,75.0,12.5,25.0,12.5,50.0,50.0,25.0,50.0
12.5,37.5,62.5,37.5,37.5,37.5,50.0,62.5,37.5,75.0,0.0,50.0,12.5,25.0,62.5,50.0,50.0
0.0,62.5,50.0,62.5,50.0,50.0,50.0,62.5,75.0,75.0,12.5,37.5,25.0,0.0,37.5,37.5,50.0
50.0,25.0,75.0,100.0,100.0,100.0,25.0,75.0,25.0,100.0,50.0,0.0,0.0,50.0,25.0,50.0,50.0
0.0,100.0,50.0,100.0,75.0,100.0,100.0,75.0,50.0,50.0,0.0,50.0,25.0,25.0,50.0,100.0,100.0
25.0,75.0,50.0,100.0,75.0,100.0,75.0,100.0,75.0,100.0,25.0,50.0,25.0,75.0,75.0,50.0,75.0
25.0,25.0,25.0,75.0,100.0,100.0,50.0,75.0,25.0,75.0,75.0,25.0,0.0,50.0,50.0,50.0,75.0
25.0,50.0,50.0,75.0,75.0,75.0,50.0,100.0,25.0,75.0,25.0,50.0,0.0,50.0,50.0,75.0,75.0
0.0,50.0,25.0,75.0,75.0,75.0,75.0,75.0,50.0,100.0,50.0,50.0,25.0,25.0,50.0,50.0,75.0
75.0,75.0,75.0,75.0,50.0,50.0,50.0,75.0,25.0,100.0,25.0,100.0,50.0,25.0,50.0,25.0,75.0
50.0,75.0,50.0,50.0,50.0,75.0,75.0,75.0,50.0,100.0,25.0,25.0,0.0,25.0,50.0,25.0,75.0
75.0,25.0,75.0,75.0,75.0,75.0,50.0,100.0,50.0,100.0,100.0,75.0,0.0,50.0,75.0,75.0,75.0
25.0,75.0,75.0,25.0,25.0,25.0,75.0,75.0,100.0,100.0,100.0,100.0,50.0,100.0,50.0,0.0,50.0
75.0,25.0,75.0,25.0,25.0,50.0,75.0,50.0,50.0,75.0,50.0,100.0,25.0,75.0,50.0,0.0,25.0
75.0,75.0,75.0,75.0,50.0,75.0,75.0,75.0,50.0,100.0,0.0,25.0,0.0,75.0,50.0,25.0,50.0
50.0,37.5,50.0,50.0,37.5,50.0,12.5,25.0,25.0,25.0,12.5,25.0,37.5,62.5,50.0,37.5,37.5
50.0,50.0,37.5,50.0,50.0,50.0,37.5,50.0,50.0,62.5,37.5,25.0,25.0,37.5,37.5,50.0,50.0
37.5,25.0,25.0,37.5,25.0,37.5,37.5,37.5,37.5,62.5,37.5,25.0,12.5,37.5,37.5,37.5,50.0
62.5,37.5,37.5,50.0,50.0,50.0,50.0,50.0,50.0,62.5,25.0,37.5,12.5,37.5,37.5,50.0,50.0
62.5,12.5,62.5,50.0,62.5,12.5,25.0,37.5,25.0,62.5,37.5,50.0,0.0,25.0,37.5,62.5,50.0
50.0,50.0,75.0,50.0,50.0,62.5,50.0,50.0,25.0,75.0,25.0,25.0,0.0,37.5,37.5,62.5,62.5
