ornamentation,grooviness,familiarity,liking,consonance,valence,excitement,sound_quality,tempo,rhythmic_regularity,vocal_range,vocal_tension,vocal_texture,instrument_vocal_overlap,instrument_overlap,instrument_tone_blend,instrument_rhythm_blend
51.04,37.5,65.62,59.38,67.71,45.83,34.38,75.0,42.71,87.5,42.71,19.79,0.0,32.29,54.17,58.33,76.04
44.79,60.42,34.38,60.42,67.71,66.67,68.75,84.38,41.67,70.83,38.54,37.5,13.54,60.42,53.12,56.25,75.0
51.04,50.0,50.0,66.67,76.04,65.62,60.42,85.42,38.54,87.5,45.83,33.33,14.58,29.17,60.42,77.08,63.54
43.75,62.5,51.04,64.58,60.42,43.75,64.58,64.58,60.42,77.08,58.33,53.12,12.5,42.71,75.0,56.25,65.62
61.46,54.17,48.96,53.12,67.71,56.25,66.67,84.38,34.38,75.0,46.88,31.25,10.42,59.38,63.54,63.54,67.71
47.92,57.29,14.58,59.38,69.79,43.75,61.46,79.17,48.96,81.25,48.96,28.12,4.17,57.29,53.12,56.25,64.58
33.33,33.33,66.67,50.0,50.0,50.0,50.0,50.0,33.33,66.67,33.33,33.33,16.67,50.0,50.0,50.0,50.0
33.33,0.0,16.67,33.33,50.0,0.0,16.67,66.67,16.67,66.67,33.33,50.0,0.0,50.0,33.33,50.0,50.0
33.33,16.67,16.67,33.33,50.0,50.0,16.67,50.0,33.33,66.67,33.33,33.33,0.0,50.0,33.33,50.0,66.67
50.0,16.67,0.0,50.0,50.0,50.0,50.0,66.67,16.67,66.67,50.0,50.0,0.0,33.33,33.33,50.0,50.0
33.33,16.67,16.67,16.67,33.33,33.33,33.33,50.0,16.67,66.67,16.67,16.67,0.0,50.0,50.0,33.33,33.33
33.33,50.0,50.0,50.0,66.67,66.67,50.0,66.67,33.33,66.67,33.33,33.33,16.67,16.67,50.0,50.0,50.0
100.0,33.33,66.67,50.0,83.33,50.0,66.67,100.0,16.67,83.33,66.67,16.67,0.0,50.0,66.67,66.67,83.33
33.33,66.67,16.67,66.67,66.67,50.0,66.67,100.0,66.67,83.33,50.0,0.0,16.67,66.67,66.67,50.0,83.33
66.67,33.33,66.67,66.67,66.67,16.67,33.33,66.67,16.67,50.0,33.33,16.67,0.0,50.0,33.33,83.33,66.67
50.0,83.33,66.67,66.67,83.33,100.0,83.33,66.67,83.33,100.0,33.33,16.67,0.0,50.0,66.67,66.67,83.33
66.67,83.33,100.0,66.67,66.67,83.33,100.0,100.0,66.67,100.0,50.0,66.67,16.67,66.67,83.33,83.33,83.33
83.33,100.0,33.33,100.0,66.67,83.33,100.0,100.0,66.67,100.0,66.67,83.33,0.0,16.67,83.33,83.33,83.33
62.5,75.0,62.5,62.5,87.5,75.0,75.0,87.5,62.5,75.0,37.5,25.0,25.0,62.5,87.5,62.5,62.5
75.0,87.5,25.0,87.5,87.5,75.0,87.5,75.0,62.5,75.0,62.5,37.5,0.0,62.5,62.5,50.0,50.0
87.5,37.5,75.0,75.0,100.0,87.5,50.0,75.0,62.5,75.0,75.0,25.0,0.0,50.0,87.5,75.0,87.5
87.5,62.5,37.5,62.5,50.0,62.5,87.5,75.0,62.5,62.5,37.5,50.0,37.5,50.0,75.0,62.5,50.0
87.5,62.5,50.0,75.0,87.5,50.0,37.5,100.0,37.5,62.5,62.5,62.5,25.0,37.5,62.5,75.0,75.0
75.0,100.0,37.5,75.0,87.5,87.5,75.0,87.5,87.5,62.5,62.5,25.0,12.5,62.5,75.0,62.5,75.0
50.0,75.0,0.0,50.0,50.0,50.0,75.0,100.0,25.0,75.0,50.0,50.0,0.0,75.0,50.0,75.0,75.0
50.0,75.0,0.0,50.0,75.0,50.0,75.0,75.0,50.0,100.0,50.0,25.0,0.0,50.0,50.0,75.0,75.0
0.0,25.0,0.0,50.0,50.0,50.0,75.0,100.0,25.0,100.0,25.0,50.0,0.0,100.0,50.0,75.0,75.0
25.0,50.0,50.0,50.0,100.0,75.0,75.0,100.0,50.0,75.0,25.0,25.0,0.0,50.0,50.0,100.0,75.0
25.0,0.0,25.0,75.0,75.0,50.0,50.0,100.0,25.0,75.0,50.0,25.0,0.0,50.0,50.0,75.0,75.0
25.0,50.0,100.0,75.0,50.0,50.0,75.0,75.0,50.0,75.0,25.0,75.0,0.0,75.0,50.0,25.0,50.0
