ornamentation,grooviness,familiarity,liking,consonance,valence,excitement,sound_quality,tempo,rhythmic_regularity,vocal_range,vocal_tension,vocal_texture,instrument_vocal_overlap,instrument_overlap,instrument_tone_blend,instrument_rhythm_blend
60.0,30.0,70.0,60.0,40.0,60.0,50.0,80.0,50.0,50.0,40.0,30.0,0.0,40.0,60.0,40.0,50.0
50.0,90.0,100.0,100.0,90.0,90.0,100.0,80.0,70.0,80.0,50.0,50.0,20.0,40.0,50.0,40.0,50.0
60.0,90.0,100.0,80.0,80.0,90.0,90.0,90.0,70.0,80.0,30.0,60.0,50.0,20.0,60.0,40.0,50.0
70.0,70.0,80.0,70.0,40.0,80.0,80.0,70.0,80.0,40.0,30.0,50.0,0.0,60.0,60.0,30.0,40.0
70.0,0.0,100.0,90.0,100.0,100.0,10.0,90.0,30.0,60.0,30.0,10.0,0.0,40.0,50.0,50.0,50.0
50.0,50.0,90.0,80.0,80.0,80.0,70.0,60.0,30.0,60.0,20.0,60.0,0.0,50.0,50.0,50.0,50.0
60.0,60.0,70.0,80.0,70.0,70.0,60.0,80.0,70.0,80.0,40.0,50.0,0.0,20.0,40.0,50.0,50.0
50.0,0.0,80.0,80.0,70.0,40.0,0.0,80.0,10.0,50.0,10.0,40.0,0.0,40.0,40.0,50.0,40.0
30.0,10.0,80.0,70.0,70.0,60.0,20.0,80.0,10.0,60.0,20.0,40.0,10.0,30.0,40.0,40.0,40.0
30.0,50.0,40.0,70.0,70.0,70.0,70.0,70.0,40.0,80.0,30.0,30.0,60.0,20.0,70.0,70.0,60.0
50.0,21.43,100.0,71.43,85.71,85.71,42.86,85.71,57.14,71.43,57.14,7.14,0.0,50.0,64.29,64.29,64.29
50.0,50.0,71.43,57.14,71.43,64.29,64.29,85.71,57.14,57.14,57.14,42.86,7.14,71.43,64.29,50.0,64.29
64.29,64.29,92.86,78.57,85.71,85.71,71.43,85.71,57.14,64.29,64.29,35.71,0.0,50.0,71.43,57.14,64.29
64.29,21.43,71.43,78.57,71.43,71.43,42.86,85.71,21.43,71.43,78.57,71.43,7.14,35.71,57.14,57.14,57.14
42.86,7.14,85.71,64.29,85.71,57.14,21.43,92.86,21.43,50.0,50.0,21.43,7.14,42.86,50.0,50.0,57.14
50.0,50.0,57.14,64.29,71.43,78.57,64.29,57.14,57.14,78.57,35.71,28.57,35.71,28.57,71.43,50.0,57.14
42.86,50.0,64.29,42.86,42.86,57.14,57.14,71.43,85.71,78.57,28.57,28.57,7.14,57.14,78.57,50.0,57.14
42.86,21.43,78.57,85.71,78.57,57.14,50.0,85.71,35.71,85.71,64.29,42.86,0.0,50.0,57.14,57.14,71.43
