ornamentation,grooviness,familiarity,liking,consonance,valence,excitement,sound_quality,tempo,rhythmic_regularity,vocal_range,vocal_tension,vocal_texture,instrument_vocal_overlap,instrument_overlap,instrument_tone_blend,instrument_rhythm_blend
43.51,24.94,65.54,65.12,67.92,64.82,41.37,72.98,35.71,69.4,34.7,28.39,1.79,36.9,49.7,46.31,54.88
45.18,56.25,51.01,61.31,65.89,65.89,66.49,63.15,56.37,72.98,32.32,41.85,26.01,47.56,52.38,53.1,59.88
49.58,38.45,66.31,57.74,61.73,62.44,49.88,66.73,48.81,65.89,34.17,40.83,14.88,34.82,56.37,44.35,50.42
48.21,28.93,62.68,60.48,56.9,58.87,45.54,55.12,44.88,69.4,29.76,37.38,8.93,40.06,51.01,49.52,56.31
51.96,32.56,73.99,65.12,74.76,72.98,40.12,67.74,37.44,65.71,35.71,23.51,9.52,47.92,49.58,47.14,56.67
42.32,60.18,52.8,65.24,66.31,71.9,68.33,69.11,46.43,70.48,27.92,33.99,13.57,37.56,57.38,53.63,59.58
42.86,7.14,64.29,50.0,78.57,64.29,28.57,64.29,35.71,64.29,21.43,21.43,0.0,42.86,42.86,42.86,57.14
21.43,35.71,57.14,64.29,78.57,50.0,50.0,64.29,35.71,71.43,14.29,35.71,0.0,42.86,50.0,42.86,50.0
35.71,42.86,64.29,78.57,71.43,57.14,42.86,64.29,57.14,78.57,28.57,28.57,7.14,28.57,57.14,57.14,57.14
21.43,21.43,42.86,42.86,42.86,35.71,21.43,64.29,35.71,64.29,7.14,28.57,7.14,42.86,50.0,42.86,50.0
14.29,28.57,71.43,50.0,50.0,50.0,42.86,71.43,21.43,71.43,0.0,50.0,7.14,21.43,57.14,50.0,50.0
14.29,57.14,42.86,64.29,57.14,57.14,57.14,71.43,57.14,78.57,14.29,35.71,35.71,7.14,57.14,50.0,57.14
40.0,10.0,90.0,70.0,80.0,80.0,20.0,90.0,20.0,70.0,50.0,0.0,0.0,50.0,40.0,60.0,60.0
30.0,80.0,60.0,80.0,70.0,90.0,90.0,80.0,50.0,70.0,20.0,30.0,40.0,30.0,70.0,80.0,80.0
20.0,50.0,60.0,60.0,60.0,70.0,60.0,90.0,90.0,90.0,40.0,40.0,10.0,70.0,80.0,60.0,70.0
40.0,10.0,60.0,80.0,90.0,70.0,30.0,80.0,20.0,80.0,60.0,20.0,0.0,50.0,50.0,60.0,70.0
30.0,70.0,80.0,80.0,80.0,80.0,80.0,100.0,40.0,70.0,30.0,40.0,0.0,60.0,60.0,70.0,80.0
40.0,40.0,40.0,80.0,80.0,70.0,70.0,90.0,50.0,90.0,60.0,40.0,10.0,40.0,60.0,60.0,90.0
75.0,91.67,91.67,83.33,83.33,83.33,83.33,66.67,58.33,100.0,50.0,58.33,16.67,41.67,58.33,50.0,66.67
75.0,75.0,58.33,66.67,66.67,83.33,83.33,75.0,50.0,83.33,41.67,41.67,0.0,41.67,66.67,41.67,58.33
75.0,33.33,91.67,91.67,91.67,58.33,41.67,66.67,33.33,91.67,83.33,66.67,0.0,33.33,58.33,66.67,66.67
58.33,66.67,41.67,41.67,41.67,41.67,75.0,66.67,91.67,91.67,83.33,91.67,41.67,75.0,58.33,25.0,50.0
66.67,16.67,75.0,50.0,50.0,41.67,41.67,41.67,41.67,58.33,33.33,50.0,8.33,83.33,50.0,25.0,33.33
91.67,91.67,91.67,91.67,83.33,91.67,91.67,66.67,66.67,91.67,33.33,41.67,16.67,75.0,50.0,58.33,58.33
50.0,21.43,50.0,57.14,57.14,64.29,28.57,50.0,35.71,28.57,21.43,14.29,21.43,57.14,57.14,35.71,42.86
42.86,50.0,35.71,50.0,50.0,64.29,50.0,57.14,50.0,57.14,35.71,28.57,14.29,35.71,42.86,50.0,50.0
35.71,21.43,28.57,42.86,35.71,50.0,28.57,50.0,35.71,64.29,21.43,21.43,21.43,35.71,42.86,35.71,42.86
57.14,21.43,21.43,42.86,42.86,50.0,42.86,57.14,42.86,64.29,14.29,42.86,7.14,42.86,42.86,42.86,42.86
57.14,7.14,35.71,42.86,57.14,21.43,21.43,50.0,21.43,64.29,28.57,50.0,7.14,28.57,42.86,50.0,42.86
50.0,42.86,85.71,57.14,57.14,64.29,50.0,64.29,28.57,64.29,21.43,28.57,0.0,35.71,42.86,42.86,50.0
