ornamentation,grooviness,familiarity,liking,consonance,valence,excitement,sound_quality,tempo,rhythmic_regularity,vocal_range,vocal_tension,vocal_texture,instrument_vocal_overlap,instrument_overlap,instrument_tone_blend,instrument_rhythm_blend
53.12,32.29,76.04,67.71,70.83,72.92,50.0,80.21,45.83,59.38,41.67,27.08,4.17,39.58,62.5,47.92,56.25
58.33,52.08,61.46,68.75,76.04,80.21,75.0,70.83,62.5,72.92,42.71,46.88,23.96,51.04,60.42,63.54,60.42
60.42,37.5,81.25,57.29,69.79,69.79,52.08,70.83,52.08,65.62,35.42,46.88,22.92,27.08,65.62,46.88,51.04
58.33,20.83,53.12,51.04,46.88,62.5,47.92,55.21,45.83,56.25,27.08,43.75,12.5,38.54,57.29,44.79,48.96
56.25,25.0,87.5,71.88,87.5,87.5,45.83,82.29,43.75,62.5,40.63,9.38,0.0,45.83,57.29,53.13,61.46
55.21,56.25,61.46,68.75,72.92,80.21,76.04,72.92,41.67,68.75,33.33,41.67,12.5,41.67,64.58,54.17,54.17
66.67,0.0,100.0,83.33,100.0,100.0,16.67,83.33,33.33,66.67,16.67,0.0,0.0,33.33,50.0,50.0,66.67
50.0,33.33,83.33,83.33,100.0,66.67,66.67,66.67,16.67,66.67,16.67,66.67,0.0,50.0,50.0,50.0,50.0
50.0,50.0,66.67,100.0,83.33,83.33,66.67,83.33,83.33,83.33,33.33,50.0,0.0,16.67,50.0,66.67,50.0
33.33,0.0,66.67,66.67,50.0,33.33,0.0,83.33,0.0,50.0,0.0,33.33,0.0,33.33,50.0,66.67,50.0
16.67,16.67,83.33,66.67,66.67,66.67,33.33,83.33,0.0,66.67,0.0,50.0,0.0,16.67,50.0,50.0,50.0
33.33,50.0,33.33,66.67,66.67,66.67,66.67,83.33,33.33,83.33,16.67,33.33,50.0,16.67,83.33,66.67,66.67
33.33,0.0,100.0,50.0,66.67,66.67,16.67,100.0,16.67,50.0,50.0,0.0,0.0,50.0,50.0,66.67,66.67
50.0,66.67,66.67,66.67,66.67,83.33,83.33,83.33,50.0,83.33,33.33,16.67,50.0,33.33,83.33,66.67,66.67
16.67,33.33,66.67,33.33,50.0,50.0,50.0,83.33,100.0,83.33,50.0,33.33,0.0,66.67,83.33,66.67,66.67
50.0,0.0,83.33,83.33,83.33,50.0,16.67,83.33,16.67,83.33,50.0,16.67,0.0,50.0,50.0,66.67,66.67
33.33,83.33,100.0,83.33,83.33,83.33,100.0,100.0,50.0,66.67,33.33,33.33,0.0,66.67,66.67,66.67,83.33
66.67,33.33,50.0,83.33,83.33,66.67,66.67,100.0,50.0,83.33,66.67,33.33,0.0,50.0,66.67,66.67,100.0
75.0,100.0,100.0,87.5,100.0,100.0,100.0,62.5,75.0,100.0,62.5,37.5,0.0,50.0,62.5,62.5,62.5
87.5,75.0,62.5,75.0,75.0,87.5,87.5,75.0,50.0,75.0,50.0,50.0,0.0,50.0,75.0,50.0,50.0
75.0,37.5,100.0,100.0,100.0,50.0,37.5,50.0,25.0,87.5,75.0,62.5,0.0,25.0,50.0,62.5,62.5
75.0,62.5,25.0,50.0,50.0,50.0,75.0,62.5,87.5,87.5,75.0,87.5,37.5,62.5,62.5,37.5,50.0
62.5,12.5,75.0,62.5,62.5,37.5,25.0,37.5,37.5,50.0,25.0,25.0,0.0,87.5,50.0,37.5,37.5
100.0,100.0,100.0,100.0,100.0,100.0,100.0,62.5,75.0,87.5,50.0,50.0,25.0,75.0,50.0,75.0,62.5
50.0,0.0,50.0,66.67,83.33,83.33,50.0,83.33,50.0,33.33,33.33,0.0,0.0,50.0,66.67,33.33,50.0
33.33,50.0,33.33,50.0,50.0,83.33,66.67,66.67,50.0,50.0,33.33,33.33,0.0,33.33,50.0,50.0,50.0
33.33,16.67,33.33,50.0,50.0,66.67,16.67,66.67,33.33,66.67,0.0,16.67,33.33,33.33,50.0,33.33,33.33
50.0,0.0,0.0,33.33,33.33,50.0,33.33,66.67,33.33,66.67,0.0,50.0,0.0,50.0,50.0,33.33,33.33
50.0,0.0,0.0,33.33,50.0,33.33,16.67,66.67,16.67,66.67,16.67,50.0,16.67,33.33,50.0,33.33,33.33
50.0,33.33,100.0,66.67,66.67,66.67,50.0,83.33,33.33,50.0,16.67,33.33,0.0,33.33,50.0,16.67,33.33
